Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
esxL,,ESAT-6-like protein EsxL,118,0,31,128,79.19463087,100,inf,1.79E-49,2.49E-45,1.56E-46,10,10,0,0.001953125,0.001953125
group_3055,,hypothetical protein,5,107,144,21,3.355704698,16.40625,0.006814642,4.91E-48,6.85E-44,4.03E-45,13,2,13,0.000244141,0.022460938
group_11989,,IS256 family transposase IS1081,1,98,148,30,0.67114094,23.4375,0.002068395,1.73E-46,2.42E-42,1.34E-43,13,1,13,0.000244141,0.003417969
group_3915,,hypothetical protein,7,107,142,21,4.697986577,16.40625,0.009674872,1.25E-45,1.74E-41,9.14E-43,12,5,9,0.145996094,0.774414063
group_659,PPE2,putative PPE family protein PPE2,4,101,145,27,2.684563758,21.09375,0.007374531,2.23E-44,3.11E-40,1.55E-41,13,4,10,0.092285156,0.266845703
group_375,,putative protein,124,7,25,121,83.22147651,94.53125,85.73714286,2.35E-43,3.27E-39,1.56E-40,10,8,3,0.109375,0.34375
group_3833,,hypothetical protein,121,6,28,122,81.20805369,95.3125,87.86904762,1.94E-42,2.70E-38,1.23E-39,12,11,3,0.006347656,0.145996094
group_1110,ppsB,Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsB,7,103,142,25,4.697986577,19.53125,0.011964994,2.24E-42,3.12E-38,1.36E-39,12,5,9,0.145996094,0.774414063
group_3911,,hypothetical protein,7,102,142,26,4.697986577,20.3125,0.01256559,1.35E-41,1.88E-37,7.83E-39,13,3,11,0.022460938,0.092285156
group_371,,hypothetical protein,147,37,2,91,98.65771812,71.09375,180.7702703,7.67E-40,1.07E-35,4.27E-37,13,12,2,0.003417969,0.022460938
group_11995,,IS256 family transposase IS1081,142,29,7,99,95.30201342,77.34375,69.25123153,2.46E-39,3.43E-35,1.32E-36,11,9,3,0.065429687,0.2265625
group_2134,,hypothetical protein,124,13,25,115,83.22147651,89.84375,43.87692308,4.05E-37,5.64E-33,2.09E-34,12,11,2,0.006347656,0.038574219
group_134,,hypothetical protein,122,12,27,116,81.87919463,90.625,43.67901235,8.81E-37,1.23E-32,4.39E-34,12,10,3,0.038574219,0.145996094
group_125,,hypothetical protein,22,112,127,16,14.76510067,12.5,0.024746907,1.93E-36,2.68E-32,9.22E-34,12,2,11,0.006347656,0.038574219
glpK,,Glycerol kinase,129,18,20,110,86.57718121,85.9375,39.41666667,1.99E-36,2.77E-32,9.22E-34,13,12,3,0.003417969,0.092285156
group_377,,putative protein,24,113,125,15,16.10738255,11.71875,0.025486726,4.17E-36,5.81E-32,1.87E-33,11,5,8,0.2265625,1
esxP,,ESAT-6-like protein EsxP,1,82,148,46,0.67114094,35.9375,0.003790376,1.50E-35,2.09E-31,6.52E-33,12,1,12,0.000488281,0.006347656
group_3061,,hypothetical protein,0,77,149,51,0,39.84375,0,2.54E-34,3.54E-30,1.07E-31,13,0,13,0.000244141,0.000244141
group_680,,hypothetical protein,146,44,3,84,97.98657718,65.625,92.90909091,6.31E-34,8.80E-30,2.45E-31,12,11,2,0.006347656,0.038574219
rapA,,hypothetical protein,113,9,36,119,75.83892617,92.96875,41.50308642,6.32E-34,8.80E-30,2.45E-31,11,10,4,0.01171875,0.548828125
group_906,,hypothetical protein,113,9,36,119,75.83892617,92.96875,41.50308642,6.32E-34,8.80E-30,2.45E-31,13,12,2,0.003417969,0.022460938
group_1406,,hypothetical protein,23,109,126,19,15.43624161,14.84375,0.031818844,2.29E-33,3.20E-29,8.64E-31,13,3,12,0.003417969,0.092285156
group_678,,hypothetical protein,3,82,146,46,2.013422819,35.9375,0.011526896,1.04E-32,1.45E-28,3.83E-30,12,2,11,0.006347656,0.038574219
group_573,glpK,Glycerol kinase,24,109,125,19,16.10738255,14.84375,0.03346789,1.28E-32,1.79E-28,4.59E-30,13,4,11,0.022460938,0.266845703
group_1104,,IS110 family transposase ISArsp3,147,49,2,79,98.65771812,61.71875,118.5,3.00E-32,4.19E-28,1.05E-29,13,13,1,0.000244141,0.003417969
group_1405,,hypothetical protein,125,20,24,108,83.89261745,84.375,28.125,6.78E-32,9.45E-28,2.30E-29,13,12,3,0.003417969,0.092285156
group_3834,,hypothetical protein,124,19,25,109,83.22147651,85.15625,28.45473684,7.19E-32,1.00E-27,2.38E-29,13,11,4,0.022460938,0.266845703
group_3064,,hypothetical protein,19,103,130,25,12.75167785,19.53125,0.035474235,9.71E-32,1.35E-27,3.08E-29,11,5,8,0.2265625,1
group_3065,,hypothetical protein,19,103,130,25,12.75167785,19.53125,0.035474235,9.71E-32,1.35E-27,3.08E-29,11,5,8,0.2265625,1
group_3997,,hypothetical protein,2,77,147,51,1.342281879,39.84375,0.009011397,4.37E-31,6.09E-27,1.35E-28,13,1,13,0.000244141,0.003417969
group_218,,hypothetical protein,21,104,128,24,14.09395973,18.75,0.037860577,7.47E-31,1.04E-26,2.26E-28,13,3,12,0.003417969,0.092285156
group_1348,,putative protein,134,31,15,97,89.93288591,75.78125,27.95268817,1.20E-30,1.67E-26,3.56E-28,12,7,7,0.774414063,0.774414063
mycP2,,Mycosin-2,146,52,3,76,97.98657718,59.375,71.12820513,3.19E-29,4.44E-25,9.26E-27,12,10,3,0.038574219,0.145996094
group_11814,lprJ_2,Putative lipoprotein LprJ,8,85,141,43,5.369127517,33.59375,0.028702545,4.20E-29,5.85E-25,1.19E-26,12,5,10,0.038574219,0.774414063
narK_3,,Nitrate/nitrite transporter NarK,2,73,147,55,1.342281879,42.96875,0.010250676,7.78E-29,1.08E-24,2.17E-26,13,2,12,0.003417969,0.022460938
lprJ_2,,Putative lipoprotein LprJ,141,44,8,84,94.63087248,65.625,33.64772727,1.59E-28,2.22E-24,4.35E-26,12,10,5,0.038574219,0.774414063
group_1370,narK_2,Nitrate/nitrite transporter NarK,147,56,2,72,98.65771812,56.25,94.5,2.75E-28,3.83E-24,7.36E-26,13,12,2,0.003417969,0.022460938
tyrA,,Prephenate dehydrogenase,149,62,0,66,100,51.5625,inf,3.54E-28,4.94E-24,9.14E-26,12,12,0,0.000488281,0.000488281
group_1583,,hypothetical protein,0,66,149,62,0,48.4375,0,3.54E-28,4.94E-24,9.14E-26,13,0,13,0.000244141,0.000244141
group_116,,hypothetical protein,94,5,55,123,63.08724832,96.09375,42.04363636,8.38E-28,1.17E-23,2.12E-25,11,9,4,0.065429687,0.548828125
group_51,,hypothetical protein,145,53,4,75,97.31543624,58.59375,51.29716981,2.49E-27,3.47E-23,6.21E-25,12,12,1,0.000488281,0.006347656
group_3909,,hypothetical protein,19,96,130,32,12.75167785,25,0.048717949,3.64E-27,5.08E-23,8.91E-25,12,6,7,0.774414063,1
group_3908,,hypothetical protein,18,95,131,33,12.08053691,25.78125,0.047730012,4.57E-27,6.37E-23,1.10E-24,12,5,8,0.387695313,0.774414063
bioD_2,,hypothetical protein,131,34,18,94,87.91946309,73.4375,20.12091503,1.73E-26,2.41E-22,4.09E-24,13,10,5,0.092285156,0.581054688
group_261,,putative PPE family protein PPE40,126,29,23,99,84.56375839,77.34375,18.70164918,2.83E-26,3.95E-22,6.58E-24,13,8,7,0.581054688,1
group_3939,,hypothetical protein,9,81,140,47,6.040268456,36.71875,0.037301587,6.29E-26,8.77E-22,1.44E-23,13,6,8,0.581054688,1
group_309,,hypothetical protein,5,74,144,54,3.355704698,42.1875,0.025337838,6.88E-26,9.59E-22,1.55E-23,13,2,13,0.000244141,0.022460938
group_168,,hypothetical protein,92,7,57,121,61.74496644,94.53125,27.89974937,7.07E-25,9.85E-21,1.56E-22,11,10,2,0.01171875,0.065429687
group_1202,,hypothetical protein,145,59,4,69,97.31543624,53.90625,42.3940678,2.86E-24,3.99E-20,6.24E-22,12,11,2,0.006347656,0.038574219
group_3084,,hypothetical protein,2,63,147,65,1.342281879,50.78125,0.014037361,1.33E-23,1.86E-19,2.86E-21,12,2,11,0.006347656,0.038574219
group_3886,,hypothetical protein,14,82,135,46,9.395973154,35.9375,0.058175248,1.31E-22,1.83E-18,2.73E-20,11,5,8,0.2265625,1
group_3887,,hypothetical protein,14,82,135,46,9.395973154,35.9375,0.058175248,1.31E-22,1.83E-18,2.73E-20,11,5,8,0.2265625,1
group_642,,PPE family protein PPE34,142,57,7,71,95.30201342,55.46875,25.26817043,2.10E-22,2.93E-18,4.31E-20,12,11,4,0.006347656,0.387695313
group_3054,,hypothetical protein,14,81,135,47,9.395973154,36.71875,0.060173754,4.28E-22,5.96E-18,8.64E-20,11,5,8,0.2265625,1
group_229,pks1_1,Phenolphthiocerol synthesis polyketide synthase type I Pks15/1,129,40,20,88,86.57718121,68.75,14.19,7.96E-22,1.11E-17,1.58E-19,13,7,8,0.581054688,1
group_3827,,hypothetical protein,69,1,80,127,46.30872483,99.21875,109.5375,8.04E-22,1.12E-17,1.58E-19,6,5,1,0.21875,0.21875
group_648,,hypothetical protein,25,93,124,35,16.77852349,27.34375,0.075875824,1.29E-21,1.80E-17,2.49E-19,13,4,10,0.092285156,0.266845703
group_826,,hypothetical protein,65,0,84,128,43.62416107,100,inf,1.33E-21,1.86E-17,2.54E-19,4,4,0,0.125,0.125
group_338,,hypothetical protein,7,69,142,59,4.697986577,46.09375,0.042151459,1.99E-21,2.77E-17,3.74E-19,13,1,13,0.000244141,0.003417969
group_254,,hypothetical protein,143,61,6,67,95.97315436,52.34375,26.17759563,2.32E-21,3.23E-17,4.31E-19,11,11,2,0.000976563,0.065429687
leuA,,2-isopropylmalate synthase,144,63,5,65,96.6442953,50.78125,29.71428571,3.23E-21,4.50E-17,5.92E-19,13,9,5,0.266845703,0.581054688
group_369,,hypothetical protein,66,121,83,7,44.29530201,5.46875,0.046002191,5.36E-21,7.47E-17,9.70E-19,11,4,9,0.065429687,0.548828125
group_595,,hypothetical protein,90,11,59,117,60.40268456,91.40625,16.22496148,1.26E-20,1.76E-16,2.26E-18,11,8,4,0.2265625,0.548828125
group_3792,,hypothetical protein,145,67,4,61,97.31543624,47.65625,33.00373134,2.21E-20,3.08E-16,3.90E-18,12,11,2,0.006347656,0.038574219
group_230,pks1_2,Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1,20,85,129,43,13.42281879,33.59375,0.078431373,2.66E-20,3.70E-16,4.63E-18,13,6,8,0.581054688,1
group_3902,,hypothetical protein,0,50,149,78,0,60.9375,0,2.85E-20,3.97E-16,4.90E-18,11,0,11,0.000976563,0.000976563
group_3639,,hypothetical protein,147,72,2,56,98.65771812,43.75,57.16666667,3.14E-20,4.37E-16,5.33E-18,13,11,2,0.022460938,0.022460938
group_3102,,hypothetical protein,0,49,149,79,0,61.71875,0,8.22E-20,1.15E-15,1.38E-17,12,0,12,0.000488281,0.000488281
group_320,,hypothetical protein,14,76,135,52,9.395973154,40.625,0.070955166,2.13E-19,2.97E-15,3.50E-17,13,4,10,0.092285156,0.266845703
group_3885,,hypothetical protein,14,76,135,52,9.395973154,40.625,0.070955166,2.13E-19,2.97E-15,3.50E-17,11,5,8,0.2265625,1
group_1318,,putative protein,149,80,0,48,100,37.5,inf,2.35E-19,3.28E-15,3.81E-17,10,10,0,0.001953125,0.001953125
group_4007,,hypothetical protein,0,47,149,81,0,63.28125,0,6.68E-19,9.31E-15,1.07E-16,10,0,10,0.001953125,0.001953125
group_1105,,IS110 family transposase ISArsp3,147,75,2,53,98.65771812,41.40625,51.94,7.52E-19,1.05E-14,1.19E-16,12,12,1,0.000488281,0.006347656
group_3928,,hypothetical protein,1,50,148,78,0.67114094,60.9375,0.010540541,9.63E-19,1.34E-14,1.51E-16,10,1,10,0.001953125,0.021484375
group_641,,PPE family protein PPE34,7,63,142,65,4.697986577,50.78125,0.05086072,1.29E-18,1.80E-14,2.00E-16,13,4,11,0.022460938,0.266845703
group_1221,,hypothetical protein,139,60,10,68,93.2885906,53.125,15.75333333,1.98E-18,2.76E-14,3.03E-16,12,12,2,0.000488281,0.038574219
group_323,,hypothetical protein,14,73,135,55,9.395973154,42.96875,0.078132927,4.58E-18,6.38E-14,6.93E-16,11,4,9,0.065429687,0.548828125
group_3794,,hypothetical protein,144,70,5,58,96.6442953,45.3125,23.86285714,4.93E-18,6.87E-14,7.39E-16,11,11,2,0.000976563,0.065429687
group_2145,,hypothetical protein,70,5,79,123,46.97986577,96.09375,21.79746835,1.20E-17,1.68E-13,1.78E-15,10,8,4,0.109375,0.75390625
group_411,,hypothetical protein,9,64,140,64,6.040268456,50,0.064285714,1.79E-17,2.50E-13,2.63E-15,12,5,10,0.038574219,0.774414063
group_1559,,hypothetical protein,102,24,47,104,68.45637584,81.25,9.404255319,3.97E-17,5.53E-13,5.76E-15,13,13,2,0.000244141,0.022460938
group_3029,,hypothetical protein,147,79,2,49,98.65771812,38.28125,45.58860759,4.56E-17,6.36E-13,6.55E-15,13,13,1,0.000244141,0.003417969
group_2103,,hypothetical protein,56,1,93,127,37.58389262,99.21875,76.47311828,7.53E-17,1.05E-12,1.07E-14,7,7,1,0.015625,0.125
group_399,,hypothetical protein,86,14,63,114,57.71812081,89.0625,11.11564626,1.28E-16,1.79E-12,1.81E-14,11,6,6,1,1
group_1425,mmpL8_1,Sulfolipid-1 exporter MmpL8,1,44,148,84,0.67114094,65.625,0.012899263,4.25E-16,5.93E-12,5.93E-14,10,1,10,0.001953125,0.021484375
group_414,,hypothetical protein,141,69,8,59,94.63087248,46.09375,15.07065217,4.51E-16,6.28E-12,6.22E-14,12,11,4,0.006347656,0.387695313
mmpL8_1,,Sulfolipid-1 exporter MmpL8,148,85,1,43,99.32885906,33.59375,74.87058824,1.14E-15,1.59E-11,1.56E-13,10,10,1,0.001953125,0.021484375
group_249,,hypothetical protein,1,42,148,86,0.67114094,67.1875,0.013835264,3.03E-15,4.23E-11,4.03E-13,11,1,11,0.000976563,0.01171875
group_3080,,hypothetical protein,1,42,148,86,0.67114094,67.1875,0.013835264,3.03E-15,4.23E-11,4.03E-13,12,1,12,0.000488281,0.006347656
group_3940,,hypothetical protein,1,42,148,86,0.67114094,67.1875,0.013835264,3.03E-15,4.23E-11,4.03E-13,11,1,11,0.000976563,0.01171875
group_214,,hypothetical protein,7,55,142,73,4.697986577,57.03125,0.065428937,5.08E-15,7.08E-11,6.68E-13,11,2,11,0.000976563,0.065429687
group_3904,,hypothetical protein,0,38,149,90,0,70.3125,0,5.70E-15,7.94E-11,7.42E-13,11,0,11,0.000976563,0.000976563
group_328,,hypothetical protein,13,64,136,64,8.724832215,50,0.095588235,7.07E-15,9.85E-11,9.12E-13,12,2,12,0.000488281,0.038574219
group_398,,hypothetical protein,72,116,77,12,48.32214765,9.375,0.096730855,1.15E-14,1.61E-10,1.47E-12,11,7,6,0.548828125,1
group_733,,putative PPE family protein PPE47/PPE48,5,50,144,78,3.355704698,60.9375,0.054166667,1.28E-14,1.79E-10,1.62E-12,13,2,12,0.003417969,0.022460938
group_11256,,hypothetical protein,88,19,61,109,59.06040268,85.15625,8.276100086,1.42E-14,1.98E-10,1.78E-12,10,5,6,0.75390625,1
group_1226,,hypothetical protein,0,36,149,92,0,71.875,0,3.94E-14,5.48E-10,4.90E-12,11,0,11,0.000976563,0.000976563
group_3910,,hypothetical protein,5,49,144,79,3.355704698,61.71875,0.055980726,6.27E-14,8.73E-10,7.73E-12,12,4,9,0.145996094,0.387695313
group_3816,,hypothetical protein,44,0,105,128,29.53020134,100,inf,8.70E-14,1.21E-09,1.06E-11,7,7,0,0.015625,0.015625
group_324,,hypothetical protein,108,36,41,92,72.48322148,71.875,6.731707317,1.03E-13,1.43E-09,1.24E-11,13,9,6,0.266845703,1
group_864,glyQS,Glycine--tRNA ligase,11,58,138,70,7.382550336,54.6875,0.096201899,1.36E-13,1.89E-09,1.63E-11,11,5,9,0.065429687,1
group_3860,,hypothetical protein,9,55,140,73,6.040268456,57.03125,0.085324675,1.82E-13,2.53E-09,2.16E-11,10,2,9,0.021484375,0.109375
group_391,,hypothetical protein,10,56,139,72,6.711409396,56.25,0.092497431,1.85E-13,2.58E-09,2.18E-11,13,2,12,0.003417969,0.022460938
group_1133,,hypothetical protein,2,41,147,87,1.342281879,67.96875,0.028870085,2.08E-13,2.89E-09,2.43E-11,11,2,10,0.01171875,0.065429687
group_295,,hypothetical protein,134,65,15,63,89.93288591,49.21875,8.658461538,2.62E-13,3.65E-09,3.04E-11,13,10,4,0.092285156,0.266845703
group_812,,putative glycosyltransferase,149,94,0,34,100,26.5625,inf,2.65E-13,3.69E-09,3.05E-11,10,10,0,0.001953125,0.001953125
group_519,,hypothetical protein,97,28,52,100,65.10067114,78.125,6.662087912,3.82E-13,5.33E-09,4.37E-11,12,9,5,0.145996094,0.774414063
group_135,,hypothetical protein,119,48,30,80,79.86577181,62.5,6.611111111,4.66E-13,6.49E-09,5.27E-11,13,11,3,0.022460938,0.092285156
group_1132,,hypothetical protein,147,88,2,40,98.65771812,31.25,33.40909091,4.95E-13,6.89E-09,5.51E-11,11,10,2,0.01171875,0.065429687
group_515,mycP2,Mycosin-2,2,40,147,88,1.342281879,68.75,0.029931973,4.95E-13,6.89E-09,5.51E-11,13,2,11,0.022460938,0.022460938
group_551,,hypothetical protein,6,48,143,80,4.026845638,62.5,0.06993007,5.08E-13,7.07E-09,5.61E-11,11,1,11,0.000976563,0.01171875
group_1537,,hypothetical protein,24,74,125,54,16.10738255,42.1875,0.140108108,5.13E-13,7.15E-09,5.63E-11,13,7,8,0.581054688,1
group_4067,,hypothetical protein,0,33,149,95,0,74.21875,0,6.80E-13,9.48E-09,7.40E-11,10,0,10,0.001953125,0.001953125
glyQS,,Glycine--tRNA ligase,135,67,14,61,90.60402685,47.65625,8.779317697,7.74E-13,1.08E-08,8.36E-11,12,8,6,0.387695313,1
group_21,,hypothetical protein,1,36,148,92,0.67114094,71.875,0.017267267,9.15E-13,1.28E-08,9.81E-11,10,1,10,0.001953125,0.021484375
group_205,,hypothetical protein,8,51,141,77,5.369127517,60.15625,0.085662634,1.05E-12,1.47E-08,1.12E-10,11,1,11,0.000976563,0.01171875
group_262,,putative PPE family protein PPE40,128,59,21,69,85.90604027,53.90625,7.128329298,1.25E-12,1.74E-08,1.32E-10,12,6,8,0.387695313,1
PE_PGRS5,,PE-PGRS family protein PE_PGRS5,103,34,46,94,69.12751678,73.4375,6.190537084,1.31E-12,1.83E-08,1.37E-10,13,11,4,0.022460938,0.266845703
group_63,,hypothetical protein,127,58,22,70,85.23489933,54.6875,6.967084639,1.61E-12,2.25E-08,1.68E-10,12,10,4,0.038574219,0.387695313
group_3912,,hypothetical protein,0,32,149,96,0,75,0,1.74E-12,2.42E-08,1.79E-10,11,0,11,0.000976563,0.000976563
priA_3,,hypothetical protein,25,73,124,55,16.77852349,42.96875,0.151900133,2.02E-12,2.82E-08,2.07E-10,13,8,7,0.581054688,1
group_685,mmpS3_2,putative transport accessory protein MmpS3,4,42,145,86,2.684563758,67.1875,0.056486043,3.53E-12,4.92E-08,3.59E-10,11,4,9,0.065429687,0.548828125
group_357,,hypothetical protein,120,51,29,77,80.53691275,60.15625,6.247464503,3.81E-12,5.31E-08,3.85E-10,11,8,4,0.2265625,0.548828125
group_3919,,hypothetical protein,0,31,149,97,0,75.78125,0,4.40E-12,6.13E-08,4.38E-10,10,0,10,0.001953125,0.001953125
group_3938,,hypothetical protein,0,31,149,97,0,75.78125,0,4.40E-12,6.13E-08,4.38E-10,10,0,10,0.001953125,0.001953125
group_1574,,hypothetical protein,38,0,111,128,25.5033557,100,inf,5.10E-12,7.11E-08,5.04E-10,7,7,0,0.015625,0.015625
group_1327,gyrA1,DNA gyrase subunit A,9,51,140,77,6.040268456,60.15625,0.097058824,5.28E-12,7.36E-08,5.18E-10,12,8,7,0.387695313,0.774414063
ppsA_2,,Phthiocerol synthesis polyketide synthase type I PpsA,0,30,149,98,0,76.5625,0,1.11E-11,1.55E-07,1.08E-09,9,0,9,0.00390625,0.00390625
gyrA1,,DNA gyrase subunit A,140,78,9,50,93.95973154,39.0625,9.971509972,1.21E-11,1.68E-07,1.17E-09,12,7,8,0.387695313,0.774414063
group_1071,,hypothetical protein,50,4,99,124,33.55704698,96.875,15.65656566,1.73E-11,2.40E-07,1.66E-09,6,3,4,0.6875,1
group_258,,hypothetical protein,121,54,28,74,81.20805369,57.8125,5.921957672,1.73E-11,2.42E-07,1.66E-09,13,12,2,0.003417969,0.022460938
group_629,,putative PPE family protein PPE40,140,79,9,49,93.95973154,38.28125,9.64838256,2.75E-11,3.83E-07,2.60E-09,11,8,4,0.2265625,0.548828125
group_3855,,Antitoxin VapB39,33,78,116,50,22.14765101,39.0625,0.182360743,4.46E-11,6.21E-07,4.20E-09,12,5,9,0.145996094,0.774414063
group_44,,hypothetical protein,4,39,145,89,2.684563758,69.53125,0.062953139,4.77E-11,6.65E-07,4.46E-09,13,3,11,0.022460938,0.092285156
group_331,,PE-PGRS family protein PE_PGRS30,46,90,103,38,30.87248322,29.6875,0.188565264,4.96E-11,6.91E-07,4.60E-09,12,4,10,0.038574219,0.387695313
group_210,,hypothetical protein,37,82,112,46,24.83221477,35.9375,0.1853223,5.99E-11,8.35E-07,5.53E-09,13,5,9,0.266845703,0.581054688
group_3831,,hypothetical protein,130,66,19,62,87.24832215,48.4375,6.427432217,7.34E-11,1.02E-06,6.73E-09,13,8,7,0.581054688,1
group_807,,hypothetical protein,2,34,147,94,1.342281879,73.4375,0.037615046,8.65E-11,1.21E-06,7.82E-09,12,2,11,0.006347656,0.038574219
group_3089,,hypothetical protein,1,31,148,97,0.67114094,75.78125,0.02114211,8.70E-11,1.21E-06,7.82E-09,10,1,9,0.021484375,0.021484375
group_3942,,hypothetical protein,1,31,148,97,0.67114094,75.78125,0.02114211,8.70E-11,1.21E-06,7.82E-09,10,1,9,0.021484375,0.021484375
group_3984,,hypothetical protein,10,49,139,79,6.711409396,61.71875,0.115988842,1.19E-10,1.66E-06,1.07E-08,12,9,5,0.145996094,0.774414063
group_781,,hypothetical protein,64,12,85,116,42.95302013,90.625,7.278431373,1.83E-10,2.55E-06,1.63E-08,10,5,6,0.75390625,1
group_11864,,hypothetical protein,147,95,2,33,98.65771812,25.78125,25.53157895,2.02E-10,2.82E-06,1.78E-08,12,12,1,0.000488281,0.006347656
group_1470,,hypothetical protein,148,98,1,30,99.32885906,23.4375,45.30612245,2.12E-10,2.95E-06,1.82E-08,9,9,1,0.00390625,0.0390625
group_3058,,hypothetical protein,1,30,148,98,0.67114094,76.5625,0.022072072,2.12E-10,2.95E-06,1.82E-08,10,1,10,0.001953125,0.021484375
group_3947,,hypothetical protein,1,30,148,98,0.67114094,76.5625,0.022072072,2.12E-10,2.95E-06,1.82E-08,9,1,9,0.00390625,0.0390625
group_3948,,hypothetical protein,1,30,148,98,0.67114094,76.5625,0.022072072,2.12E-10,2.95E-06,1.82E-08,9,1,9,0.00390625,0.0390625
group_1229,,hypothetical protein,10,48,139,80,6.711409396,62.5,0.119904077,2.61E-10,3.64E-06,2.23E-08,12,2,12,0.000488281,0.038574219
group_267,,PE-PGRS family protein PE_PGRS33,113,49,36,79,75.83892617,61.71875,5.060657596,2.73E-10,3.81E-06,2.32E-08,13,8,7,0.581054688,1
group_1576,,hypothetical protein,5,39,144,89,3.355704698,69.53125,0.079237892,2.98E-10,4.16E-06,2.52E-08,10,2,9,0.021484375,0.109375
group_1326,cca,CCA-adding enzyme,143,87,6,41,95.97315436,32.03125,11.23180077,3.37E-10,4.70E-06,2.83E-08,11,7,6,0.548828125,1
group_353,,hypothetical protein,124,61,25,67,83.22147651,52.34375,5.447868852,4.13E-10,5.75E-06,3.45E-08,11,8,4,0.2265625,0.548828125
group_4026,,hypothetical protein,0,26,149,102,0,79.6875,0,4.21E-10,5.87E-06,3.50E-08,10,0,10,0.001953125,0.001953125
group_2150,,hypothetical protein,2,32,147,96,1.342281879,75,0.040816327,4.71E-10,6.56E-06,3.87E-08,11,2,10,0.01171875,0.065429687
group_132,,hypothetical protein,14,53,135,75,9.395973154,58.59375,0.146750524,4.72E-10,6.58E-06,3.87E-08,12,4,9,0.145996094,0.387695313
group_22,,hypothetical protein,60,11,89,117,40.26845638,91.40625,7.170582227,5.73E-10,7.98E-06,4.67E-08,12,10,4,0.038574219,0.387695313
group_631,,putative PPE family protein PPE40,9,45,140,83,6.040268456,64.84375,0.118571429,6.80E-10,9.48E-06,5.51E-08,11,4,8,0.2265625,0.548828125
group_358,,hypothetical protein,24,65,125,63,16.10738255,49.21875,0.186092308,7.20E-10,1.00E-05,5.80E-08,12,4,9,0.145996094,0.387695313
group_13145,,hypothetical protein,44,4,105,124,29.53020134,96.875,12.99047619,9.19E-10,1.28E-05,7.27E-08,3,1,3,0.25,1
group_13702,,Putative diacyglycerol O-acyltransferase,44,4,105,124,29.53020134,96.875,12.99047619,9.19E-10,1.28E-05,7.27E-08,3,1,3,0.25,1
